Button / Action,Screen,User Role,Expected User Result,Salesforce Action,Object Updated,Record Created,Flow Needed,Apex Needed,LWC Needed,Disabled State,Ready to Build?,Blocker,Test Case
Open PO,PO Pipeline,PO Coordinator,Open real WorkOrder record,Standard navigate to record,WorkOrder,None,No,No,No,"Disabled when WorkOrder Id missing",Yes,None,Click from list opens matching WorkOrder Id
Submit Takeoff,Takeoff/BMG Gate,Estimator,Move WorkOrder through takeoff gate,Quick Action updates status/checklist,WorkOrder,None,Yes,No,No,"Disabled until required checklist complete",Yes,None,Attempt submit with missing fields remains disabled
Open Command Center,WorkOrder Command Center,Ops Manager,Open command center context for selected WorkOrder,Standard navigate to app page,WorkOrder,None,No,No,Yes,"Disabled when no WO selected",Yes,None,Selected WO context appears on command page
Create Service Appointment,WorkOrder Command Center,Dispatcher,Create ServiceAppointment for WorkOrder,Launch Flow create appointment,WorkOrder,ServiceAppointment,Yes,No,No,"Disabled when WO not eligible",Yes,None,Flow creates linked ServiceAppointment
Assign Crew,Dispatch,Dispatcher,Assign resource/crew to appointment,FSL assignment action,ServiceAppointment,None,Yes,No,No,"Disabled when no available resource",Yes,None,AssignedResource record created by action
Start Route,Foreman Mobile,Foreman,Set appointment in-route state,Mobile quick action updates status,ServiceAppointment,None,Yes,No,No,"Disabled until pre-shift checklist done",Yes,None,Status changes to In Route with timestamp
Arrival Checklist,Foreman Mobile,Foreman,Complete arrival + DQC section,Launch mobile flow/checklist,ServiceAppointment,None,Yes,No,No,"Disabled until status is In Route",Yes,None,DQC section appears only for supplier-delivered sod/mulch flag
Upload Before Photos,Foreman Mobile,Foreman,Attach categorized proof photos,File upload + category update,ContentDocumentLink,ContentVersion,No,No,No,"Disabled until appointment is On Site",Yes,None,Uploaded file linked and tagged Before Photo
Cannot Complete,Active Job,Foreman,Flag cannot-complete and route escalation,Flow updates status/escalation,ServiceAppointment,Case,Yes,No,No,"Disabled when completion blockers not selected",Yes,None,Case created with reason and appointment link
2 PM Health Check,Active Job,Foreman,Submit mid-day health signal,Flow updates health fields,WorkOrder,None,Yes,No,No,"Disabled outside job-active window",Yes,None,Health check timestamp captured once per day
Consume Inventory,Inventory / Scanner,Loader/Foreman,Record real inventory movement,Standard ProductConsumed creation,WorkOrderLineItem,ProductConsumed,Yes,No,No,"Disabled until ProductItem selected",Staged,Inventory_Count__c audit incomplete,ProductConsumed links to WO/WOLI/ProductItem
Submit QI Closeout,QI / Closeout,QI Inspector,Complete closeout and handoff,Flow updates closeout status,WorkOrder,None,Yes,No,No,"Disabled until all mandatory checks pass",Yes,None,WO moves to Closeout Complete
Invoice Handoff,Revenue / Invoice,Revenue Ops,Create invoice handoff task/flag,Quick action/flow,WorkOrder,Task,Yes,No,No,"Disabled until closeout complete",Yes,None,Task created with invoice handoff queue
