HTML File,Screen,Business Purpose,Salesforce Page Type,Primary Object,Related Objects,Standard Component?,LWC Needed?,Flow Needed?,FSL Mobile Needed?,Permission Needed,Missing Object/Field,Build Now?,Blocker,Notes
SOURCE_PACKAGE_MISSING,Source package not found,Cannot map HTML screens without provided package,N/A,N/A,N/A,No,No,No,No,UI_Contract_Read_Access,"LOVING_Everything_HTML_UI_v1.zip, 12_html_v1_sf_map.csv, 13_html_v1_action_map.csv, 14_v1_object_readiness.md",No,Source files not present in repository,Add all HTML files once package is added; this row prevents fake mappings
PO_Pipeline.html,PO Pipeline,Create and progress PO through takeoff gate,Lightning Record Page,WorkOrder,Account;Case;WorkOrderLineItem,Yes,Maybe,Yes,No,PO_Manager_Permission_Set,Takeoff gate fields (Needs Salesforce verification),Yes,None,Use real WorkOrder status transitions only
Takeoff_BMG_Gate.html,Takeoff/BMG Gate,Quality gate before scheduling,Lightning Record Page,WorkOrder,WorkOrderLineItem;Case,Yes,Maybe,Yes,No,Estimator_Permission_Set,BMG gate checklist fields (Needs Salesforce verification),Yes,None,No builder-specific branching logic
WorkOrder_Command_Center.html,WorkOrder Command Center,Operate install lifecycle around ServiceAppointment,Lightning App Page,WorkOrder,ServiceAppointment;AssignedResource;ServiceCrew;WorkOrderLineItem,Yes,Yes,Yes,No,Ops_Command_Permission_Set,Command-center summary fields (Needs Salesforce verification),Yes,None,FSL owns scheduling actions
Production_Install_Ticket.html,Production Install Ticket,Track production install execution,Lightning Record Page,WorkOrder,ServiceAppointment;WorkOrderLineItem;ProductConsumed,Yes,Maybe,Yes,No,Production_Foreman_Permission_Set,Install ticket fields (Needs Salesforce verification),Yes,None,No fake ETA/GPS controls
Finished_Job_Ticket.html,Finished Job Ticket,Capture staged finished-job controls,Lightning Record Page,WorkOrder,Case;ContentDocumentLink,Yes,Maybe,Yes,No,Ops_Closeout_Permission_Set,WorkOrder RecordType Finished_Job (staged) + closeout fields,Staged,Metadata audit pending,Approved design decision is staged only
Warranty_Ticket.html,Warranty Ticket,Manage warranty intake/resolution,Lightning Record Page,Case,WorkOrder;Account,Yes,Maybe,Yes,No,Warranty_Agent_Permission_Set,Coverage decision fields on Case/WorkOrder (Needs Salesforce verification),Yes,None,Do not create Coverage_Decision__c
Customer_Care_Process.html,Customer Care Process,Route/escalate customer care issues,Lightning App Page,Case,WorkOrder;Account,Yes,Maybe,Yes,No,Customer_Care_Permission_Set,Escalation reason and SLA fields (Needs Salesforce verification),Yes,None,No homeowner/non-builder expansion
Aqua.html,Aqua,Run Aqua-specific operational checklist,Lightning App Page,WorkOrder,WorkOrderLineItem;Case,Yes,Yes,Yes,No,Aqua_Ops_Permission_Set,Aqua data fields (Needs Salesforce verification),Later,Dependency on core WO model,No territory hardcoding
Loading_Ticket.html,Loading Ticket,Manage truck loading confirmation before route,Lightning Record Page,WorkOrder,ProductItem;ProductConsumed,Yes,Maybe,Yes,Yes,Loading_Crew_Permission_Set,Loading checklist fields (Needs Salesforce verification),Yes,None,Separate from DQC arrival
Inventory_Scanner.html,Inventory / Scanner,Move/consume inventory with FSL-native objects,Lightning App Page,ProductConsumed,ProductItem;WorkOrderLineItem,Yes,Maybe,Yes,Yes,Inventory_Ops_Permission_Set,Inventory_Count__c audit status,Staged,Inventory_Count__c existence not confirmed,Do not create Inventory_Movement__c or Inventory_Ticket__c now
DQC_Arrival_Checklist.html,DQC Arrival Checklist,Capture supplier sod/mulch arrival checks on site,Field Service Mobile Card,ServiceAppointment,WorkOrder;ContentDocumentLink,Yes,Maybe,Yes,Yes,DQC_Checklist_Permission_Set,DQC checklist fields (Needs Salesforce verification),Yes,None,DQC is arrival checklist section not loading and not standalone ticket
QI_Closeout.html,QI / Closeout,Perform quality inspection and closeout handoff,Lightning Record Page,WorkOrder,Case;ContentDocumentLink,Yes,Maybe,Yes,Yes,QI_Closeout_Permission_Set,Closeout score/status fields (Needs Salesforce verification),Yes,None,Must support proof upload categories
Foreman_Mobile.html,Foreman Mobile,Guide foreman through day-of execution,Field Service Mobile App,ServiceAppointment,AssignedResource;ServiceCrew;WorkOrder,Yes,Yes,Yes,Yes,Foreman_Mobile_Permission_Set,Mobile action flags and health-check fields (Needs Salesforce verification),Yes,None,No fake GPS/ETA states
Dispatch.html,Dispatch,Coordinate exceptions without overriding FSL scheduling ownership,Lightning Console App,ServiceAppointment,WorkOrder;AssignedResource;ServiceCrew,Yes,Maybe,Yes,No,Dispatch_Permission_Set,Dispatch exception reason fields (Needs Salesforce verification),Yes,None,FSL scheduling remains system of record
WEX_Weather_Traffic.html,WEX / Weather / Traffic,Show external context overlays for decisions,Lightning App Page,WorkOrder,ServiceAppointment,No,Yes,Yes,No,Ops_Command_Permission_Set,Integration endpoints/tokens (Needs Salesforce verification),Later,External integration readiness,No fake weather automation
Revenue_Invoice_Handoff.html,Revenue / Invoice,Hand off completed work to invoicing,Lightning Record Page,WorkOrder,Case;Account,Yes,Maybe,Yes,No,Revenue_Ops_Permission_Set,Invoice handoff fields (Needs Salesforce verification),Yes,None,Handoff only; no billing engine replacement
Admin_GoLive_Readiness.html,Admin / Go-Live Readiness,Verify controls/permissions/readiness gates,Lightning App Page,WorkOrder,Case;ServiceAppointment,Yes,No,Yes,No,Salesforce_Admin_Permission_Set,Readiness checklist fields (Needs Salesforce verification),Yes,None,No deployment or activation tasks included
